preox_duration,ascent_rate_ftmin,cruise_alt_ft,cruise_duration,total_flight_time,risk_index,risk_probability
30,1000,26000,15,71.0,25.906998786903184,0.9999999999943929
30,1000,27000,15,72.0,59.74364408045442,1.0
30,1000,28000,15,73.0,93.73603369098218,1.0
30,1000,29000,15,74.0,127.80431439510265,1.0
30,1000,30000,15,75.0,161.87498080947304,1.0
30,1000,31000,15,76.0,196.6612686268388,1.0
30,1000,32000,15,77.0,230.63757284573825,1.0
30,1000,33000,15,78.0,264.42115096435873,1.0
30,1000,34000,15,79.0,297.9612858058513,1.0
30,1000,35000,15,80.0,331.2120178702069,1.0
30,1000,36000,15,81.0,364.1318560834227,1.0
30,1000,37000,15,82.0,396.6834987873447,1.0
30,1000,38000,15,83.0,428.83356550197203,1.0
30,1000,39000,15,84.0,460.5523398244217,1.0
30,1000,40000,15,85.0,491.813523684193,1.0
30,1000,15000,20,65.0,0.0,0.0
30,1000,16000,20,66.0,0.0,0.0
30,1000,17000,20,67.0,0.0,0.0
30,1000,18000,20,68.0,0.0,0.0
30,1000,19000,20,69.0,0.0,0.0
30,1000,20000,20,70.0,0.0,0.0
30,1000,21000,20,71.0,0.0,0.0
30,1000,22000,20,72.0,0.0,0.0
30,1000,23000,20,73.0,0.0,0.0
30,1000,24000,20,74.0,0.0,0.0
30,1000,25000,20,75.0,0.0,0.0
30,1000,26000,20,76.0,31.93153633392314,0.9999999999999865
30,1000,27000,20,77.0,73.01990692524181,1.0
30,1000,28000,20,78.0,113.65499183656459,1.0
30,1000,29000,20,79.0,153.7925475986915,1.0
30,1000,30000,20,80.0,193.39324696838165,1.0
30,1000,31000,20,81.0,232.42234365413313,1.0
30,1000,32000,20,82.0,270.8493523445666,1.0
30,1000,33000,20,83.0,308.6477441781206,1.0
30,1000,34000,20,84.0,345.79465764208413,1.0
30,1000,35000,20,85.0,382.27062476254036,1.0
30,1000,36000,20,86.0,418.0593123418887,1.0
30,1000,37000,20,87.0,453.14727791468937,1.0
30,1000,38000,20,88.0,487.5237400235945,1.0
30,1000,39000,20,89.0,521.1803623626406,1.0
30,1000,40000,20,90.0,554.1110512937023,1.0
