scenario_id,scenario,error
57,"{'altitude': 24177.02238977851, 'time_at_altitude': 86.75197750423109, 'prebreathing_time': 0.6085010494014487, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
58,"{'altitude': 18055.199490614035, 'time_at_altitude': 337.73107694635905, 'prebreathing_time': 115.52405368769242, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
59,"{'altitude': 19108.987329691274, 'time_at_altitude': 1.5816794275884127, 'prebreathing_time': 59.21089961448301, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
60,"{'altitude': 18338.59234436097, 'time_at_altitude': 304.9138859573177, 'prebreathing_time': 31.660307072514165, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
61,"{'altitude': 19363.236390947382, 'time_at_altitude': 246.30708185874576, 'prebreathing_time': 107.74048492711336, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
62,"{'altitude': 24321.41844282268, 'time_at_altitude': 191.67988338366132, 'prebreathing_time': 100.63900241077222, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
63,"{'altitude': 21226.414120974245, 'time_at_altitude': 34.147275196622736, 'prebreathing_time': 165.02632961531026, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
64,"{'altitude': 19138.563277008616, 'time_at_altitude': 349.4366972927664, 'prebreathing_time': 234.46470852672962, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
65,"{'altitude': 21567.58371083128, 'time_at_altitude': 271.5117074018463, 'prebreathing_time': 105.11804792473554, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
66,"{'altitude': 18394.78106948866, 'time_at_altitude': 223.77490499462922, 'prebreathing_time': 17.688093222116528, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
67,"{'altitude': 22016.347991682385, 'time_at_altitude': 128.12195978602924, 'prebreathing_time': 220.02424557335675, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
68,"{'altitude': 22279.08192128669, 'time_at_altitude': 180.61738197134454, 'prebreathing_time': 217.6929711710283, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
69,"{'altitude': 20991.35421535375, 'time_at_altitude': 228.3328953254614, 'prebreathing_time': 132.0518599359496, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
70,"{'altitude': 24053.76724058082, 'time_at_altitude': 332.61374367406705, 'prebreathing_time': 234.2138013597176, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
71,"{'altitude': 21944.319703207468, 'time_at_altitude': 14.492901351136593, 'prebreathing_time': 75.91272140420641, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
72,"{'altitude': 21856.599143460822, 'time_at_altitude': 250.26737452800134, 'prebreathing_time': 202.12730980430462, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
73,"{'altitude': 22080.52721821844, 'time_at_altitude': 14.425930148794158, 'prebreathing_time': 8.182697518446407, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
74,"{'altitude': 19602.10649508484, 'time_at_altitude': 171.50596213827336, 'prebreathing_time': 57.93383094355505, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
75,"{'altitude': 19476.978734395852, 'time_at_altitude': 12.489989672561444, 'prebreathing_time': 173.12646976970788, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
76,"{'altitude': 22554.863278362238, 'time_at_altitude': 58.09186140293357, 'prebreathing_time': 50.31552474241085, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
77,"{'altitude': 21062.53576199591, 'time_at_altitude': 241.32682578647598, 'prebreathing_time': 67.29450070381509, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
78,"{'altitude': 20445.944710044558, 'time_at_altitude': 315.20448121221773, 'prebreathing_time': 180.51994373367938, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
79,"{'altitude': 18313.02793193431, 'time_at_altitude': 262.91956082380227, 'prebreathing_time': 110.74961469213716, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
80,"{'altitude': 23007.6017762129, 'time_at_altitude': 151.06690323775092, 'prebreathing_time': 149.27351246097226, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
81,"{'altitude': 18090.957465642336, 'time_at_altitude': 104.46675327166015, 'prebreathing_time': 162.29037878537048, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
82,"{'altitude': 21045.36050234488, 'time_at_altitude': 258.9012816331247, 'prebreathing_time': 22.648406471706757, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
83,"{'altitude': 18920.19533040502, 'time_at_altitude': 13.738354665516379, 'prebreathing_time': 70.10218109962281, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
84,"{'altitude': 23278.870042585368, 'time_at_altitude': 21.071494861371352, 'prebreathing_time': 24.689478985839422, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
