altitude,prebreathing_time,exercise_level,time_at_altitude,risk_of_decompression_sickness
18500,30,Heavy,80,1.00
18500,30,Heavy,90,1.00
18500,30,Heavy,100,1.00
18500,30,Heavy,110,1.00
18500,30,Heavy,120,1.00
18500,30,Heavy,130,1.00
18500,30,Heavy,140,1.00
18500,30,Heavy,150,2.00
18500,30,Heavy,160,2.00
18500,30,Heavy,170,2.00
18500,30,Heavy,180,2.00
18500,30,Heavy,190,2.00
18500,30,Heavy,200,2.00
18500,30,Heavy,210,3.00
18500,30,Heavy,220,3.00
18500,30,Heavy,230,3.00
18500,30,Heavy,240,3.00
18500,45,Rest,10,0.00
18500,45,Rest,20,0.00
18500,45,Rest,30,0.00
18500,45,Rest,40,0.00
18500,45,Rest,50,0.00
18500,45,Rest,60,0.00
18500,45,Rest,70,0.00
18500,45,Rest,80,0.00
18500,45,Rest,90,0.00
18500,45,Rest,100,0.00
18500,45,Rest,110,0.00
18500,45,Rest,120,0.00
18500,45,Rest,130,0.00
18500,45,Rest,140,0.00
18500,45,Rest,150,0.00
18500,45,Rest,160,0.00
18500,45,Rest,170,0.00
18500,45,Rest,180,0.00
18500,45,Rest,190,0.00
18500,45,Rest,200,0.00
18500,45,Rest,210,0.00
18500,45,Rest,220,0.00
18500,45,Rest,230,0.00
18500,45,Rest,240,0.00
18500,45,Mild,10,0.00
18500,45,Mild,20,0.00
18500,45,Mild,30,0.00
18500,45,Mild,40,0.00
18500,45,Mild,50,0.00
18500,45,Mild,60,0.00
18500,45,Mild,70,0.00
18500,45,Mild,80,0.00
18500,45,Mild,90,0.00
18500,45,Mild,100,0.00
18500,45,Mild,110,0.00
18500,45,Mild,120,0.00
18500,45,Mild,130,0.00
18500,45,Mild,140,0.00
18500,45,Mild,150,0.00
18500,45,Mild,160,0.00
18500,45,Mild,170,0.00
18500,45,Mild,180,0.00
18500,45,Mild,190,0.00
18500,45,Mild,200,0.00
18500,45,Mild,210,0.00
18500,45,Mild,220,0.00
18500,45,Mild,230,0.00
18500,45,Mild,240,0.00
18500,45,Heavy,10,0.00
18500,45,Heavy,20,0.00
18500,45,Heavy,30,0.00
18500,45,Heavy,40,0.00
18500,45,Heavy,50,0.00
18500,45,Heavy,60,0.00
18500,45,Heavy,70,0.00
18500,45,Heavy,80,0.00
18500,45,Heavy,90,0.00
18500,45,Heavy,100,0.00
18500,45,Heavy,110,0.00
18500,45,Heavy,120,1.00
18500,45,Heavy,130,1.00
18500,45,Heavy,140,1.00
18500,45,Heavy,150,1.00
18500,45,Heavy,160,1.00
18500,45,Heavy,170,1.00
18500,45,Heavy,180,1.00
18500,45,Heavy,190,1.00
18500,45,Heavy,200,1.00
18500,45,Heavy,210,1.00
18500,45,Heavy,220,1.00
18500,45,Heavy,230,1.00
18500,45,Heavy,240,1.00
18500,60,Rest,10,0.00
18500,60,Rest,20,0.00
18500,60,Rest,30,0.00
18500,60,Rest,40,0.00
18500,60,Rest,50,0.00
18500,60,Rest,60,0.00
18500,60,Rest,70,0.00
18500,60,Rest,80,0.00
18500,60,Rest,90,0.00
18500,60,Rest,100,0.00
18500,60,Rest,110,0.00
18500,60,Rest,120,0.00
18500,60,Rest,130,0.00
18500,60,Rest,140,0.00
18500,60,Rest,150,0.00
18500,60,Rest,160,0.00
18500,60,Rest,170,0.00
18500,60,Rest,180,0.00
18500,60,Rest,190,0.00
18500,60,Rest,200,0.00
18500,60,Rest,210,0.00
18500,60,Rest,220,0.00
18500,60,Rest,230,0.00
18500,60,Rest,240,0.00
18500,60,Mild,10,0.00
18500,60,Mild,20,0.00
18500,60,Mild,30,0.00
18500,60,Mild,40,0.00
18500,60,Mild,50,0.00
18500,60,Mild,60,0.00
18500,60,Mild,70,0.00
18500,60,Mild,80,0.00
18500,60,Mild,90,0.00
18500,60,Mild,100,0.00
18500,60,Mild,110,0.00
18500,60,Mild,120,0.00
18500,60,Mild,130,0.00
18500,60,Mild,140,0.00
18500,60,Mild,150,0.00
18500,60,Mild,160,0.00
18500,60,Mild,170,0.00
18500,60,Mild,180,0.00
18500,60,Mild,190,0.00
18500,60,Mild,200,0.00
18500,60,Mild,210,0.00
18500,60,Mild,220,0.00
18500,60,Mild,230,0.00
18500,60,Mild,240,0.00
18500,60,Heavy,10,0.00
18500,60,Heavy,20,0.00
18500,60,Heavy,30,0.00
18500,60,Heavy,40,0.00
18500,60,Heavy,50,0.00
18500,60,Heavy,60,0.00
18500,60,Heavy,70,0.00
18500,60,Heavy,80,0.00
18500,60,Heavy,90,0.00
18500,60,Heavy,100,0.00
18500,60,Heavy,110,0.00
18500,60,Heavy,120,0.00
18500,60,Heavy,130,0.00
18500,60,Heavy,140,0.00
18500,60,Heavy,150,0.00
18500,60,Heavy,160,0.00
18500,60,Heavy,170,0.00
18500,60,Heavy,180,0.00
18500,60,Heavy,190,1.00
18500,60,Heavy,200,1.00
18500,60,Heavy,210,1.00
18500,60,Heavy,220,1.00
18500,60,Heavy,230,1.00
18500,60,Heavy,240,1.00
19000,0,Rest,10,0.00
19000,0,Rest,20,0.00
19000,0,Rest,30,0.00
19000,0,Rest,40,0.00
19000,0,Rest,50,0.00
19000,0,Rest,60,0.00
19000,0,Rest,70,0.00
19000,0,Rest,80,0.00
19000,0,Rest,90,0.00
19000,0,Rest,100,1.00
19000,0,Rest,110,1.00
19000,0,Rest,120,1.00
19000,0,Rest,130,1.00
19000,0,Rest,140,1.00
19000,0,Rest,150,1.00
19000,0,Rest,160,1.00
19000,0,Rest,170,1.00
19000,0,Rest,180,1.00
19000,0,Rest,190,1.00
19000,0,Rest,200,1.00
19000,0,Rest,210,2.00
19000,0,Rest,220,2.00
19000,0,Rest,230,2.00
19000,0,Rest,240,2.00
19000,0,Mild,10,0.00
19000,0,Mild,20,0.00
19000,0,Mild,30,0.00
19000,0,Mild,40,0.00
19000,0,Mild,50,1.00
19000,0,Mild,60,1.00
19000,0,Mild,70,1.00
19000,0,Mild,80,1.00
19000,0,Mild,90,1.00
19000,0,Mild,100,2.00
19000,0,Mild,110,2.00
19000,0,Mild,120,2.00
19000,0,Mild,130,2.00
19000,0,Mild,140,2.00
19000,0,Mild,150,3.00
19000,0,Mild,160,3.00
19000,0,Mild,170,3.00
19000,0,Mild,180,4.00
19000,0,Mild,190,4.00
19000,0,Mild,200,4.00
19000,0,Mild,210,4.00
19000,0,Mild,220,5.00
19000,0,Mild,230,5.00
19000,0,Mild,240,5.00
19000,0,Heavy,10,0.00
19000,0,Heavy,20,1.00
19000,0,Heavy,30,1.00
19000,0,Heavy,40,1.00
19000,0,Heavy,50,2.00
19000,0,Heavy,60,3.00
19000,0,Heavy,70,3.00
19000,0,Heavy,80,4.00
19000,0,Heavy,90,4.00
19000,0,Heavy,100,5.00
19000,0,Heavy,110,6.00
19000,0,Heavy,120,7.00
19000,0,Heavy,130,7.00
19000,0,Heavy,140,8.00
19000,0,Heavy,150,9.00
19000,0,Heavy,160,10.00
19000,0,Heavy,170,10.00
19000,0,Heavy,180,11.00
19000,0,Heavy,190,12.00
19000,0,Heavy,200,13.00
19000,0,Heavy,210,14.00
19000,0,Heavy,220,14.00
19000,0,Heavy,230,15.00
19000,0,Heavy,240,16.00
19000,15,Rest,10,0.00
19000,15,Rest,20,0.00
19000,15,Rest,30,0.00
19000,15,Rest,40,0.00
19000,15,Rest,50,0.00
19000,15,Rest,60,0.00
19000,15,Rest,70,0.00
19000,15,Rest,80,0.00
19000,15,Rest,90,0.00
19000,15,Rest,100,0.00
19000,15,Rest,110,0.00
19000,15,Rest,120,0.00
19000,15,Rest,130,0.00
19000,15,Rest,140,0.00
19000,15,Rest,150,0.00
19000,15,Rest,160,0.00
19000,15,Rest,170,1.00
19000,15,Rest,180,1.00
19000,15,Rest,190,1.00
19000,15,Rest,200,1.00
19000,15,Rest,210,1.00
19000,15,Rest,220,1.00
19000,15,Rest,230,1.00
19000,15,Rest,240,1.00
19000,15,Mild,10,0.00
19000,15,Mild,20,0.00
19000,15,Mild,30,0.00
19000,15,Mild,40,0.00
19000,15,Mild,50,0.00
19000,15,Mild,60,0.00
19000,15,Mild,70,0.00
19000,15,Mild,80,1.00
19000,15,Mild,90,1.00
19000,15,Mild,100,1.00
19000,15,Mild,110,1.00
19000,15,Mild,120,1.00
19000,15,Mild,130,1.00
19000,15,Mild,140,1.00
19000,15,Mild,150,1.00
19000,15,Mild,160,1.00
19000,15,Mild,170,2.00
19000,15,Mild,180,2.00
19000,15,Mild,190,2.00
19000,15,Mild,200,2.00
19000,15,Mild,210,2.00
19000,15,Mild,220,2.00
19000,15,Mild,230,2.00
19000,15,Mild,240,2.00
19000,15,Heavy,10,0.00
19000,15,Heavy,20,0.00
19000,15,Heavy,30,0.00
19000,15,Heavy,40,1.00
19000,15,Heavy,50,1.00
19000,15,Heavy,60,1.00
19000,15,Heavy,70,2.00
19000,15,Heavy,80,2.00
19000,15,Heavy,90,2.00
19000,15,Heavy,100,2.00
19000,15,Heavy,110,3.00
19000,15,Heavy,120,3.00
19000,15,Heavy,130,4.00
19000,15,Heavy,140,4.00
19000,15,Heavy,150,4.00
19000,15,Heavy,160,5.00
19000,15,Heavy,170,5.00
19000,15,Heavy,180,6.00
19000,15,Heavy,190,6.00
19000,15,Heavy,200,6.00
19000,15,Heavy,210,7.00
